RBD,Nombre,Dirección,Teléfono,Correo,Página web,Director(a),Sostenedor,Región,Comuna
144,COLEGIO IQUIQUE YOUNG SCHOOL,Manuel Rodriguez 1311,2726833,iquiqueyoungschool@gmail.com,www.youngschool.cl,Johanna Pamela Aguilera Contreras,Corporacion Educacional Iquique Young School,DE TARAPACÁ,IQUIQUE
40177,COLEGIO IRQIILLARIY,Sargento Aldea 1350,2421312,sara.paniagua@gmail.com,Sin información.,Sara Del Carmen Paniagua Herbas,Corporacion Educacional Paniagua,DE TARAPACÁ,IQUIQUE
12741,COLEGIO LATIONOAMERICANO LAS PARINAS,Tamarugal 4015,2326597,latinolasparinas@yahoo.com,Sin información.,Patricio Eleazar Araya Bastías,Entidad Individual Educacional Norma Jimena Varas Guerra E.i.e,DE TARAPACÁ,IQUIQUE
10900,COLEGIO LIRIMA,Avenida La Tirana 4650,461400,marcela.figueroa@lirima.cl,www.colegiolirima.cl,Paula Andrea Campos Campos,Colegio Lirima S.a,DE TARAPACÁ,IQUIQUE
12504,COLEGIO LITTLE COLLEGE,Av. Héroes De La Concepción 634,2421840,directora@colegiolittlecollege.cl,www.colegiolittlecollege.cl,Rosa Cecilia Díaz Montaño,Entidad Individual Educacional Colegio Little College,DE TARAPACÁ,IQUIQUE
40295,COLEGIO MAHATMA GANDHI,Freddy Wood 5205,966186964,dnr@vtr.net,Sin información.,Daniel Bernabé Naranjo Rojo,Corporacion Educacional Colegio Mahatma Gandhi,DE TARAPACÁ,IQUIQUE
12573,COLEGIO MARIA REINA,Av. Playa Brava 3203,2449336,finanzas@mariareinaiqq.cl,www.mariareinaiqq.cl,Jaime Rubén Córdova Vargas,Colegio Maria Reina E.i.e,DE TARAPACÁ,IQUIQUE
12636,COLEGIO NIMARA,Avenida Salvador Allende  (ex Av. Pedro Prado) 3318,2440211,contactocolegio@nimara.cl,Sin información.,Marcia Soledad León Muñoz,Sociedad Establecimiento Educacional Nimara Limitada,DE TARAPACÁ,IQUIQUE
130,COLEGIO NORTH COLLEGE,Manuel Rodriguez 1180,2426569,direccion@colegionorthcollege.cl,www.colegionorthcollege.cl,Sandra Amara Urquiola Rojo,Fundacion Educacional North College Iquique,DE TARAPACÁ,IQUIQUE
12515,COLEGIO NUSTA KORI,Baquedano 1189,2268891,koribasic@hotmail.com,www.colegionustakori.cl,José Jorge Vargas Nicolás,Corporacion Educacional Ñusta Kori,DE TARAPACÁ,IQUIQUE
116,COLEGIO REPUBLICA DE CROACIA,Av.salvador Allende 1890,956395410,croacia@slepiquique.cl,sites.google.com/cormudesi.cl/116-croacia/inicio,Jorge Eduardo Aracena Cerda,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
126,COLEGIO REPUBLICA DE ITALIA,Rancagua 2958,2241491,italia@slepiquique.cl,sites.google.com/slepiqq.cl/criiqq/inicio,Miguel Eleazar Baeza Carreño,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
12672,COLEGIO SALESIANO DE IQUIQUE,Eleuterio Ramirez 1617,2411450,rector@donboscoiquique.cl,www.donboscoiquique.cl,Alejandra Mabel Carrera Yentzen,Congregacion Salesiana,DE TARAPACÁ,IQUIQUE
10901,COLEGIO SAN MARTIN,Amunategui 86,2427128,psanmartin@colegiosm.cl,www.colegiosm.cl,Patricia Jorgina Elba San Martín Alfaro,Corporacion Educacional Colegio San Martin,DE TARAPACÁ,IQUIQUE
40043,COLEGIO SUEÑO DEL MAÑANA,"Los Algarrobos 3441 ,3442",2443919,samca.casamatriz@gmail.com,Sin información.,Amelia Florentina Espinosa Daiz Ida,Fundacion Educacional Samca Arumanti,DE TARAPACÁ,IQUIQUE
12646,COSTA COLLEGE,Jose Francisco Vergara 3285,2451518,sandravildosop@gmail.com,www.costacollege.cl,Marco Antonio Rojas Eguiluz,Soc.educ. Sanvil Serv.asociados Ltda.,DE TARAPACÁ,IQUIQUE
20578,DRAGONCITO,Avda. Cerro Dragon 243,57 2448271,sabrina.urrutia.c@junjired.cl,,Sabrina Alejandra Urrutia Covarrubias,"Junta Nacional De Jardines Infantiles, Junji",DE TARAPACÁ,IQUIQUE
12657,EAGLES COLLEGE,Jose Francisco Vergara 3424,2532364,info@eaglescollege.cl,www.eaglescollege.cl,Rosa María Retamales Latrille,Sociedad De Servicios Educacionales  Ayala Y Catalan Limitada,DE TARAPACÁ,IQUIQUE
40210,ESC ESP DE LENGUAJE NIDOS DEL SABER,Genaro Gallo 2764,311893,gjimenez@nidosdelsaber.cl,www.nidos.cl,Graciela Del Carmen Jiménez Jiménez,Servicios Educacionales Nidos E.i.e,DE TARAPACÁ,IQUIQUE
12739,ESC ESP DE LENGUAJE OASIS DEL SABER,Avenida Teniente Hernan Merino Correa 3895,2583224,katherine.bravo@slepiqq.cl,Sin información.,Katherine Colomba Bravo Muñoz,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
12698,ESC ESP DE LENGUAJE STA CAROLINA DE MATILLA,Pedro Prado N 3042,991657947,santacarolinadematilla@hotmail.com,Sin información.,Carolina Eliett Ojane Jorquera,Corporacion Educacional Escuela Especial De Lenguaje Santa Carolina De Matilla,DE TARAPACÁ,IQUIQUE
40157,ESC ESP TRAST DE LA COMUN ARUSIÑA LAS TARKAS,Las Tarkas 2893,2767560,escuelalastarkas@gmail.com,Sin información.,Carmen Andrea Gamboa Araya,Corporacion Educacional Arusiña,DE TARAPACÁ,IQUIQUE
40197,ESC ESPECIAL DE LENGUAJE KUNAMASTA,Pasaje Iquique 1811,416976,evelyn.kunamasta@gmail.com,Sin información.,Evelyn Noris Catalán Vega,Kunamasta Corporación Educacional,DE TARAPACÁ,IQUIQUE
12660,ESC. ESP. DE LENGUAJE MONSERRAT,Playa Ligate 3225,2137221,escueladelenguajemonserrat@gmail.com,www.escuelamonserratiquique.cl,María Grazia Lasala Romero,Corporacion Educacional Monserrat,DE TARAPACÁ,IQUIQUE
12700,ESC. ESP. TRANST. COM. SANTA LAURA,Los Algarrobos 3696 752,2321141,bernarda.castillot@gmail.com,Sin información.,Bernarda Magdalena Castillo Tapia,Corporacion Educacional Arusiña,DE TARAPACÁ,IQUIQUE
12697,ESC. ESPECIAL DE TRASTORNOS AUDIMED IQUIQUE,Pedro Prado N 3350,441607,bernarditaht@gmail.com,www.corporacionaudimed.cl,Bernarda Adelina Haro Tapia,Corporacion Educacional Audimed Iquique,DE TARAPACÁ,IQUIQUE
102,ESC.EDUC.ESPECIAL FLOR DEL INCA,Pedro Aguirre Cerda 2098,544781,eflordelinca@slepiquique.cl,www.flordelinca.cl,Ivonne Del Carmen Alonso Oyarzo,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
103,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,Orella 1820,982530038,vparra@slepiquique.cl,www.violetaparraiquique.cl,Juana Cecilia Rojas Fredes,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
12670,ESC.ESP.DE TRANS. DE LA COM. ARUSINA,Amunategui 53,2470860,rosatassara@arusina.cl,Sin información.,Silvana Luisa Tabilo Silva,Corporacion Educacional Arusiña,DE TARAPACÁ,IQUIQUE
12681,ESC.TRAST.DE LA COM.FLOR DE LIRIO,Eleuterio     Ramirez 753,2328373,lenguajeflordelirio2017@gmail.com,www.lenguajeflordelirio.cl,Verónica Soledad Martínez Ossandón,Veronica Martinez Ossandon E.i.e,DE TARAPACÁ,IQUIQUE
113,ESCUELA ALMIRANTE PATRICIO LYNCH,Genaro Gallo 2408,2544849,plynch@slepiquique.cl,Sin información.,Lilia Del Carmen Espinosa Tapia,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
12604,ESCUELA BASICA CORONA SCHOOL,Juan Martinez 1058,2262931,jacqueline.williams@coronaschool.cl,www.coronaschool.cl,Jacqueline Elizabeth Williams Rodríguez,Fundación Educacional Corona,DE TARAPACÁ,IQUIQUE
12761,ESCUELA BASICA FRANCISCO FORGIONE,Luis Cruz Martinez 715,2425927,corporacion.forgione@ebff.cl,www.ebff.cl,Guido Bartolomé Silva Ericksen,Corporación Educacional Francisco Forgione,DE TARAPACÁ,IQUIQUE
10916,ESCUELA CALETA CHANAVAYITA,San Andres,20366446,echanavayita@slepiquique.cl,Sin información.,Sixto Rosendo Pure Calane,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
12542,ESCUELA CALETA SAN MARCOS,Caleta Sn. Marcos,92385765,monica.cabezas@slepiqq.cl,Sin información.,Mónica Patricia Cabezas Castillo,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
119,ESCUELA CENTENARIO,Serrano 998,2544768,centenario@slepiquique.cl,Sin información.,Marta Victoria Ruz Pérez,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
12538,ESCUELA CHIPANA,Los Algarrobos 3416,2544739,chipana@slepiquique.cl,www.escuelachipana.cl,César Humberto Sepúlveda Villarroel,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
40417,ESCUELA DE LENGUAJE ANGELUZ,Genaro Gallo 727,216065,escuelalenguaje.angeluz@gmail.com,www.escueladelenguajeangeluz.cl,Jessica Fabiola Delgado Morales,Entidad Individual Educacional Angeluz,DE TARAPACÁ,IQUIQUE
12751,ESCUELA DE LENGUAJE KERIMA LTDA.,Riquelme 1089,333971,kerima.direccion@gmail.com,Sin información.,María Loreto Mendoza Aracena,Corporacion Educacional Kerima,DE TARAPACÁ,IQUIQUE
40458,ESCUELA DE LENGUAJE MOMENTOS PRECIOSOS,Oscar Bonilla 840,420674,escuelamomentospreciosos@gmail.com,Sin información.,Loreto Andrea Moscoso Manríquez,Momentos Preciosos E.i.e,DE TARAPACÁ,IQUIQUE
40420,ESCUELA DE LENGUAJE NUBE Y SOL,Piloto Pardo 1594,2418722,escuelalenguajenubeysol@gmail.com,www.escuelanubeysol.cl,Vivian Andrea Del Pilar Carvajal Pizarro,Corporacion Educacional Nube Y Sol,DE TARAPACÁ,IQUIQUE
40154,ESCUELA DE LENGUAJE NUEVO INTI,Cerro Dragón 3337,2716607,escuelanuevointi@gmail.com,www.escuelanuevointi.cl,Aracelly Del Carmen Daponte Morales,Corporacion Educacional Sol Del Norte,DE TARAPACÁ,IQUIQUE
112,ESCUELA EDUARDO LLANOS,Genaro Gallo 527,2544844,hugo.alegria@slepiquique.cl,Sin información.,Hugo Manuel Alegría Miranda,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
12731,ESCUELA ESPECIAL DE LENGUAJE LOS ANDES,Avda. Salvador Allende 2306,723857,klaumonroy@yahoo.com,www.escueladelenguajelosandes.cl,Marcela Belén Rodríguez Ferrada,Entidad Individual Educacional Atlantis E.i.e,DE TARAPACÁ,IQUIQUE
40293,ESCUELA ESPECIAL DE LENGUAJE SAN JOAQUIN,Elías Laferte 2333,2439731,escuelasanjoaquiniqq@gmail.com,Sin información.,Alejandra Maciel Núñez Sepúlveda,Corporación Educacional Dima,DE TARAPACÁ,IQUIQUE
12725,ESCUELA ESPECIAL PADRE PIO,18 De Septiembre 846,2412206,eipadrepi@gmail.com,Sin información.,Juana Guadalupe Henríquez Jélvez,Corporación Educacional Francisco Forgione,DE TARAPACÁ,IQUIQUE
111,ESCUELA GABRIELA MISTRAL,Libertad 1525,227263473,egmistral@slepiquique.cl,Sin información.,María Amparo Del Carmen Lobos Estay,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
12579,ESCUELA LATINOAMERICANA,Tamarugal 4005,927558714,nortina2001@yahoo.com,Sin información.,Norma Jimena Varas Guerra,Entidad Individual Educacional Norma Jimena Varas Guerra E.i.e,DE TARAPACÁ,IQUIQUE
117,ESCUELA PAULA JARAQUEMADA ALQUIZAR,Orella 960,2544764,marjorie.cortez@slepiquique.cl,Sin información.,Marjorie Marcia Cortez Rojas,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
114,ESCUELA PLACIDO VILLARROEL,Arturo Fernandez 1260,2544754,placidovillarroel92@gmail.cl,Sin información.,Anicia Malvina González Gutiérrez,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
125,ESCUELA PROFESOR MANUEL CASTRO RAMOS,Manuel Castro Ramos 2188,227263478,castroramos@slepiquique.cl,Sin información.,Gilberto Eduardo Miños Parra,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
122,ESCUELA THILDA PORTILLO OLIVARES,Las Magnolias 1834,2544774,etportillo@slepiquique.cl,sites.google.com/etportillo.cl/escuelathildaportillo/historia-del-colegio,Julia Elizabeth Dávila Olivares,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
40309,ESCUELITA ESPECIAL DE LENGUAJE MAMIÑA,Jose Francisco Vergara Nº 3017,2444721,escuelitamamina@hotmail.com,Sin información.,Verónica Patricia Contreras Cisternas,Mamiña E.i.e,DE TARAPACÁ,IQUIQUE
31359,IKE - IKE,2019/02/12 00:00:00.000 243,57 2435713,paulina.lagos.m@junjired.cl,,Paulina Monserratt Lagos Moraga,"Junta Nacional De Jardines Infantiles, Junji",DE TARAPACÁ,IQUIQUE
97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,Anibal Pinto 1255,2544808,land.davila@slepiqq.cl,Sin información.,Land-yen Beatriz Dávila Castillo,Servicio Local De Educacion Pública De Iquique,DE TARAPACÁ,IQUIQUE
106,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,Av. Arturo Prat 4775,988144104,directora@imariquique.cl,www.imariquique.cl,Roxana Inés Ojeda Aravena,Fundacion Almirante Carlos Condell,DE TARAPACÁ,IQUIQUE
12762,IQRA ARABIAN BRITISH SCHOOL,"Via 5 , Manzana E, Lote, Bajo Molle 10",91367305,contacto@iqraschool.cl,www.iqraschool.cl,Erikch Dagoberto Sciaraffia Aguirre,Corporación Educacional Iqra Arabian British School,DE TARAPACÁ,IQUIQUE
136,J.  I.  CAPULLITO,Thompson,2405949,jardincapullitohospitaliquique@gmail.com,Sin información.,Sin información.,Servicio De Salud De Iquique,DE TARAPACÁ,IQUIQUE
12585,J.  I.  MI RINCON,Avenida Salvador Allende 3388,2720086,shapiera@hotmail.com,www.nimara.cl,Marcela De Las Mercedes Maturana Palacios,Sociedad Establecimiento Educacional Nimara Limitada,DE TARAPACÁ,IQUIQUE
12724,J.  I. AGU,Pje. Tres Islas 3651  A,2381416,agu3651@educarchile.cl,Sin información.,Sin información.,Sociedad Educacional Agu Limitada,DE TARAPACÁ,IQUIQUE
12674,J. I.  MY FRIEND,Pasaje Chauca 3548,2445307,mariluzreyeslopez@hotmail.com,www.myfriends.cl,Mariluz Adriana Reyes López,Mariluz Adriana Reyes Lopez,DE TARAPACÁ,IQUIQUE
12553,J. I. ANATIRI,Videla Nº 1290 1290,2417474,janatiri.anatiri@gmail.com,Sin información.,Gissella Andrea Bacian Callpa,Corporacion Educacional Pre Escolar Anatiri,DE TARAPACÁ,IQUIQUE
12702,J. I. LITTLE SUN,Playa Ligate 3260,318817,educacion.evelyn@gmail.com,www.jardinlittlesun.cl,Loren Cecilia Argote Challapa,Lucia Figueroa Kinat E.i.e,DE TARAPACÁ,IQUIQUE
12661,J. I. PUKARA,Tadeo Haenke N 1942,436816,jardin.pukara@gmail.com,Sin información.,Amica Julia Lucic Zurita,Pukara E.i.e,DE TARAPACÁ,IQUIQUE
12593,J.I.SAINT MARGARET ROSE GARDEN,Amunategui 91 91,2262814,direccionrosegarden@hotmail.com,Sin información.,Gladys Leonor Montoya Sánchez,Entidad Individual Educacional Saint Margareth Rose Garden E.i.e,DE TARAPACÁ,IQUIQUE
10898,JARDIN INFANTIL ACUARELA,Edmundo Wallis 2047,2501668,j.infantil.acuarela@gmail.com,www.acuarelajardinsalacuna.cl,Maribel Yohana Fernández Bacian,Soc. Serv. Educacionales Acuarela Limitada,DE TARAPACÁ,IQUIQUE
16872,JARDIN INFANTIL AMAUTA PRESCHOOL,Calle Uno 2136,2346545,amautapreschool@gmail.com,www.amautapreschool.cl,Diana Carolina Aguilar Hidalgo,Sociedad Maria Jose Calderon Acuña Y Otros Cia Ltda,DE TARAPACÁ,IQUIQUE
12717,JARDIN INFANTIL AMTIRI,Los Sambos 2967,1219888,secretaria@jardinamtiri.cl,www.jardinamtiri.cl,Liliana Angélica Cortés Galleguillos,Corporacion Educacional Amtiri,DE TARAPACÁ,IQUIQUE
12599,JARDIN INFANTIL ANAKENA,Tamarugal 4037,381083,jianakena@gmail.com,Sin información.,Joanna Angelina Ayala Fajardo,Serv. Educ.joanna Angelina Ayala Fajardo E.i,DE TARAPACÁ,IQUIQUE
12519,JARDIN INFANTIL CAPERUZO,Los Lichiguayos 2784-2786 2784 2786,2431548,jardincaperuzo@yahoo.es,Sin información.,Encarnación Mercedes Bobadilla Ríos,Jardin Infantil Caperuzo Entidad Individual Educacional,DE TARAPACÁ,IQUIQUE
41828,JARDIN INFANTIL CARACOLA,Calle Santiago Polanco 2437,76492948,jicaracolaspa@gmail.com,Sin información.,Carmen Gloria Zapata Cisternas,Sociedad Jardín Infantil Caracola Spa,DE TARAPACÁ,IQUIQUE
12678,JARDIN INFANTIL CARITAS CONTENTAS,Orden Y Patria 2817,2441308,jardininfantilcaritascontentas@gmail.com,www.jardincaritascontentas.cl,Paola Alejandra Quintana Leyton,Maria Isabel Asenjo Hernandez Educacion  E.i.e,DE TARAPACÁ,IQUIQUE
139,JARDIN INFANTIL CONEJITO,Gorostiaga 165 165,,jardinconejito.web@gmail.com,Sin información.,Daniela Paola Olivares Sagua,Soc. Educ. E Inversiones Wa Spa,DE TARAPACÁ,IQUIQUE
12756,JARDIN INFANTIL DAELY,Zegers 1921,2718494,elisa.carvajal@hotmail.com,Sin información.,Ana María Teresa Araos Campo,Educacion Ana Maria Teresa Araos Campo  E.i.r.l.,DE TARAPACÁ,IQUIQUE
12621,JARDIN INFANTIL D`STEPHANO,Thompson 1717,2417858,jardindstephano@gmail.com,Sin información.,Lupe Noemi Cavero Quezada,Corporacion Educacional D´stephano,DE TARAPACÁ,IQUIQUE
12584,JARDIN INFANTIL ECOSEMILLITA,Avda. Diego Portales 2149,2319331,mileighton@hotmail.com,www.jardinecosemillita.cl,María Inés Leighton Soto,Ecosemillita E.i.r.l.,DE TARAPACÁ,IQUIQUE
12545,JARDIN INFANTIL EL LLAMITO,Serrano 1169,315363,jardinllamito@gmail.com,Sin información.,Irma Graciela Zúñiga Vargas,Corporación Educacional El Llamito,DE TARAPACÁ,IQUIQUE
12523,JARDIN INFANTIL EMMANUELITO,Libertad 1159,982764227,jardinemmanuelito@gmail.com,www.jardinemmanuelito.cl,Claudia Patricia Olcay Rodríguez,Corporación Educacional Emmanuelito,DE TARAPACÁ,IQUIQUE
12722,JARDIN INFANTIL GIRASOLES,Pedro Prado 3394,2442872,girasolesji@gmail.com,www.girasolesjardininfantil.cl,Leticia Gladys Gonzales Angulo,Sociedad Jardin Infantil Girasol Ltda.,DE TARAPACÁ,IQUIQUE
12619,JARDIN INFANTIL HAPPY DAY,Vivar  1552,2761748,happyday1552@gmail.com,Sin información.,Angélica Elena Araos Requena,"Sociedad Quiroga,torres Y Araos Limitada",DE TARAPACÁ,IQUIQUE
12648,JARDIN INFANTIL HAPPY GARDEN,Thompson 446,2411918,jardin@happygarden.cl,www.happygarden.cl,María Inés Leighton Soto,Happy Garden E.i.r.l.,DE TARAPACÁ,IQUIQUE
16931,JARDIN INFANTIL HISPANO BRITANICO S. A.,Avenida Salvador Allende 3931,2735639,jardininfantil@jhb.cl,www.jhb.cl,Marta Digna Pinto Cardemil,Sociedad Jardin Infantil Hispano Britanico S. A.,DE TARAPACÁ,IQUIQUE
12606,JARDIN INFANTIL LOS TATITAS,Jose Francisco Vergara 3241,2441518,sandravildosop@gmail.com,Sin información.,Stephania Jacqueline Soto Saavedra,Soc.educ. Sanvil Serv.asociados Ltda.,DE TARAPACÁ,IQUIQUE
12568,JARDIN INFANTIL MANDALA GARDEN,"Pasaje Ontario 3762,villa Cerro Colorado",382750,directora@mandalagarden.cl,Sin información.,Mónica Myriam Pulgar Pérez,Inversiones  Mandala E.i.r.l.,DE TARAPACÁ,IQUIQUE
40416,JARDIN INFANTIL MATIAS,18 De Septiembre 2039,317342,jardininfantil.matias@gmail.com,Sin información.,María Fernanda Ampuero Vergara,Matias Garden Entidad Individual Educacional,DE TARAPACÁ,IQUIQUE
40079,JARDIN INFANTIL MELODIA,Avda. Salvador Allende 2925- 2927 - 2929,2323142,jardinmelodia@gmail.com,www.jardinmelodia.cl,Claudia Alejandra Palma Aguilera,Servicios Educacionales Marfer Ltda.,DE TARAPACÁ,IQUIQUE
12607,JARDIN INFANTIL MIS PRIMEROS PASOS,Arturo Perez Canto 1077,2320213,jimisprimerospasos@hotmail.com,jimisprimerospasos.cl,Lilian Marcela Chávez Véliz,Mis Primeros Pasos Entidad Individual Educacional,DE TARAPACÁ,IQUIQUE
40007,JARDIN INFANTIL MIS PRIMEROS PASOS 2,18 De Septiembre 1735,2768670,jimisprimerospasos@hotmail.com,jimisprimerospasos.cl,Claudia Alejandra De La Cerda Nangari,Mis Primeros Pasos Entidad Individual Educacional,DE TARAPACÁ,IQUIQUE
20483,JARDIN INFANTIL MUNAYI MONTESSORI,Mariscal Castilla 2854,2761135,jardinmunayi@gmail.com,www.munayimontessori.cl,Carolina Elizabeth Bacian Carvajal,Servicios Educacionales Munayi Sociedad De Responsabilidad Limitada,DE TARAPACÁ,IQUIQUE
12511,JARDIN INFANTIL NOCTILUCAS,Rancagua 3285,2326354,jinoctilucas@gmail.com,complejoeducacionallatinoamericano.cl,Consuelo Patricia Castillo Morgado,Entidad Individual Educacional Norma Jimena Varas Guerra E.i.e,DE TARAPACÁ,IQUIQUE
12510,JARDIN INFANTIL PAPELUCHO,Pampa Germania 3072,79724676,cepapelucho@gmail.com,Sin información.,Priscilla Carolina Álvarez Heredia,Corporación Educacional Papelucho,DE TARAPACÁ,IQUIQUE
12556,JARDIN INFANTIL PECECITO DORADO,Rancagua 2823 - A,435873,jipececitodoradoiquique@gmail.com,Sin información.,Marcela Andrea Flores Lucero,Sociedad Flores Y Flores Limitada,DE TARAPACÁ,IQUIQUE
